iter	Passed	Remaining
557	6320	5006
558	6332	4995
559	6342	4983
560	6352	4970
561	6363	4959
562	6372	4946
563	6384	4935
564	6396	4924
565	6406	4912
566	6418	4901
567	6434	4894
568	6449	4885
569	6460	4874
570	6473	4863
571	6486	4853
572	6499	4843
573	6512	4833
574	6522	4820
575	6534	4809
576	6545	4798
577	6554	4785
578	6564	4773
579	6574	4761
580	6586	4750
581	6598	4738
582	6608	4727
583	6618	4714
584	6629	4703
585	6639	4690
586	6651	4679
587	6662	4668
588	6672	4656
589	6682	4643
590	6693	4632
591	6703	4619
592	6714	4608
593	6725	4596
594	6735	4584
595	6748	4574
596	6759	4562
597	6769	4550
598	6780	4539
599	6791	4527
600	6803	4517
601	6814	4505
602	6826	4494
603	6838	4483
604	6849	4472
605	6861	4461
606	6871	4448
607	6883	4438
608	6895	4427
609	6906	4415
610	6917	4404
611	6929	4393
612	6940	4381
613	6952	4370
614	6964	4359
615	6976	4348
616	6986	4336
617	6997	4325
618	7008	4313
619	7018	4301
620	7030	4290
621	7040	4278
622	7050	4266
623	7061	4254
624	7071	4242
625	7082	4231
626	7093	4219
627	7102	4207
628	7116	4197
629	7127	4185
630	7138	4174
631	7148	4162
632	7158	4150
633	7168	4138
634	7178	4126
635	7190	4115
636	7199	4102
637	7211	4091
638	7222	4080
639	7231	4067
640	7243	4056
641	7254	4045
642	7265	4033
643	7275	4021
644	7284	4009
645	7295	3997
646	7306	3986
647	7316	3974
648	7327	3963
649	7338	3951
650	7348	3939
651	7359	3928
652	7371	3916
653	7380	3904
654	7392	3893
655	7404	3882
656	7414	3870
657	7426	3859
658	7437	3848
659	7447	3836
660	7458	3825
661	7470	3814
662	7481	3803
663	7493	3791
664	7505	3780
665	7515	3769
666	7526	3757
667	7536	3745
668	7547	3734
669	7557	3722
670	7569	3711
671	7579	3699
672	7590	3688
673	7601	3676
674	7610	3664
675	7621	3652
676	7632	3641
677	7643	3629
678	7655	3619
679	7666	3607
680	7675	3595
681	7686	3583
682	7698	3573
683	7709	3561
684	7721	3550
685	7734	3540
686	7745	3528
687	7759	3518
688	7772	3508
689	7785	3497
690	7796	3486
691	7808	3475
692	7821	3464
693	7834	3454
694	7847	3443
695	7861	3433
696	7876	3423
697	7889	3413
698	7903	3403
699	7916	3392
700	7929	3382
701	7940	3370
702	7954	3360
703	7965	3349
704	7978	3338
705	7991	3328
706	8005	3317
707	8021	3308
708	8052	3305
709	8111	3313
710	8134	3306
711	8146	3295
712	8158	3283
713	8172	3273
714	8191	3265
715	8206	3255
716	8222	3245
717	8236	3234
718	8248	3223
719	8259	3212
720	8271	3200
721	8285	3190
722	8297	3179
723	8314	3169
724	8328	3158
725	8338	3146
726	8351	3136
727	8363	3124
728	8375	3113
729	8385	3101
730	8396	3089
731	8407	3078
732	8417	3066
733	8428	3054
734	8437	3042
735	8448	3030
736	8459	3018
737	8468	3006
738	8480	2995
739	8491	2983
740	8502	2971
741	8512	2959
742	8523	2948
743	8533	2936
744	8544	2924
745	8555	2913
746	8565	2900
747	8576	2889
748	8586	2877
749	8596	2865
750	8607	2853
751	8618	2842
752	8631	2831
753	8642	2819
754	8656	2808
755	8668	2797
756	8678	2785
757	8691	2774
758	8703	2763
759	8714	2752
760	8726	2740
761	8739	2729
762	8751	2718
763	8760	2706
764	8772	2694
765	8782	2682
766	8793	2671
767	8804	2659
768	8814	2647
769	8826	2636
770	8836	2624
771	8846	2612
772	8857	2601
773	8867	2589
774	8877	2577
775	8889	2565
776	8900	2554
777	8912	2543
778	8922	2531
779	8933	2519
780	8942	2507
781	8953	2495
782	8962	2483
783	8972	2472
784	8982	2460
785	8992	2448
786	9003	2436
787	9012	2424
788	9023	2413
789	9033	2401
790	9042	2389
791	9052	2377
792	9062	2365
793	9071	2353
794	9082	2341
795	9090	2329
796	9100	2317
797	9110	2306
798	9120	2294
799	9131	2282
800	9140	2270
801	9149	2258
802	9158	2246
803	9168	2235
804	9178	2223
805	9188	2211
806	9198	2199
807	9207	2187
808	9217	2176
809	9226	2164
810	9237	2152
811	9247	2140
812	9255	2128
813	9265	2117
814	9274	2105
815	9284	2093
816	9294	2081
817	9304	2070
818	9315	2058
819	9324	2046
820	9335	2035
821	9344	2023
822	9354	2011
823	9364	2000
824	9373	1988
825	9383	1976
826	9392	1964
827	9401	1953
828	9411	1941
829	9420	1929
830	9430	1917
831	9440	1906
832	9450	1894
833	9466	1884
834	9482	1873
835	9497	1863
836	9508	1851
837	9517	1839
838	9526	1828
839	9536	1816
840	9546	1804
841	9555	1793
842	9565	1781
843	9574	1769
844	9584	1758
845	9593	1746
846	9603	1734
847	9612	1723
848	9620	1711
849	9630	1699
850	9639	1687
851	9650	1676
852	9660	1664
853	9670	1653
854	9681	1641
855	9691	1630
856	9703	1619
857	9713	1607
858	9724	1596
859	9734	1584
860	9744	1573
861	9755	1561
862	9767	1550
863	9777	1539
864	9789	1527
865	9801	1516
866	9813	1505
867	9826	1494
868	9837	1483
869	9850	1471
870	9862	1460
871	9874	1449
872	9884	1437
873	9894	1426
874	9904	1414
875	9915	1403
876	9928	1392
877	9940	1381
878	9951	1369
879	9963	1358
880	9976	1347
881	9987	1336
882	9998	1324
883	10010	1313
884	10020	1302
885	10032	1290
886	10043	1279
887	10055	1268
888	10066	1256
889	10079	1245
890	10092	1234
891	10103	1223
892	10116	1212
893	10128	1200
894	10142	1189
895	10152	1178
896	10163	1167
897	10175	1155
898	10186	1144
899	10198	1133
900	10208	1121
901	10220	1110
902	10232	1099
903	10244	1087
904	10257	1076
905	10270	1065
906	10281	1054
907	10293	1042
908	10305	1031
909	10315	1020
910	10324	1008
911	10333	997
912	10343	985
913	10353	974
914	10362	962
915	10372	951
916	10382	939
917	10393	928
918	10405	917
919	10415	905
920	10426	894
921	10439	883
922	10451	871
923	10463	860
924	10476	849
925	10487	838
926	10498	826
927	10510	815
928	10523	804
929	10537	793
930	10547	781
931	10559	770
932	10570	759
933	10581	747
934	10592	736
935	10603	725
936	10613	713
937	10627	702
938	10638	691
939	10651	679
940	10663	668
941	10676	657
942	10691	646
943	10705	635
944	10719	623
945	10731	612
946	10744	601
947	10757	590
948	10771	578
949	10785	567
950	10795	556
951	10807	544
952	10820	533
953	10833	522
954	10844	510
955	10856	499
956	10869	488
957	10883	477
958	10896	465
959	10911	454
960	10924	443
961	10938	432
962	10953	420
963	10966	409
964	10979	398
965	10989	386
966	11003	375
967	11016	364
968	11027	352
969	11038	341
970	11051	330
971	11064	318
972	11076	307
973	11089	296
974	11102	284
975	11117	273
976	11129	262
977	11142	250
978	11153	239
979	11164	227
980	11175	216
981	11186	205
982	11199	193
983	11211	182
984	11223	170
985	11235	159
986	11248	148
987	11259	136
988	11270	125
989	11282	113
990	11293	102
991	11305	91
992	11316	79
993	11327	68
994	11338	56
995	11350	45
996	11361	34
997	11373	22
998	11385	11
999	11397	0
